year,month,fleet,CPUE,Input SE ,Original SE
1976,1,20,0.44,0.19,0.10
1977,1,20,0.38,0.19,0.10
1978,1,20,0.39,0.18,0.09
1979,1,20,0.36,0.17,0.08
1980,1,20,0.25,0.14,0.05
1981,1,20,0.26,0.14,0.05
1982,1,20,0.47,0.22,0.13
1983,1,20,0.45,0.18,0.09
1984,1,20,0.36,0.17,0.08
1985,1,20,0.44,0.20,0.11
1986,1,20,0.54,0.28,0.19
1987,1,20,0.61,0.33,0.24
1988,1,20,0.49,0.23,0.14
1989,1,20,0.43,0.21,0.12
1990,1,20,0.34,0.16,0.07
1991,1,20,0.42,0.18,0.09
1992,1,20,0.42,0.20,0.11
1993,1,20,0.47,0.25,0.16
1976,1,22,0.33,0.20,0.03
1977,1,22,0.31,0.21,0.04
1978,1,22,0.26,0.19,0.02
1979,1,22,0.25,0.19,0.02
1980,1,22,0.46,0.22,0.05
1981,1,22,0.26,0.19,0.02
1982,1,22,0.29,0.20,0.03
1983,1,22,0.34,0.20,0.03
1984,1,22,0.36,0.20,0.03
1985,1,22,0.35,0.20,0.03
1986,1,22,0.36,0.21,0.04
1987,1,22,0.43,0.21,0.04
1988,1,22,0.41,0.21,0.04
1989,1,22,0.34,0.20,0.03
1990,1,22,0.34,0.20,0.03
1991,1,22,0.28,0.20,0.03
1992,1,22,0.26,0.20,0.03
1993,1,22,0.23,0.20,0.03
1994,1,21,0.42,0.18,0.08
1995,1,21,0.36,0.19,0.09
1996,1,21,0.41,0.22,0.12
1997,1,21,0.46,0.22,0.12
1998,1,21,0.36,0.19,0.09
1999,1,21,0.37,0.20,0.10
2000,1,21,0.44,0.24,0.14
2001,1,21,0.40,0.22,0.12
2002,1,21,0.38,0.22,0.12
2003,1,21,0.27,0.18,0.08
2004,1,21,0.28,0.16,0.06
2005,1,21,0.30,0.16,0.06
2006,1,21,0.33,0.17,0.07
2007,1,21,0.39,0.19,0.09
2008,1,21,0.26,0.15,0.05
2009,1,21,0.35,0.18,0.08
2010,1,21,0.32,0.18,0.08
