year,season,fleet,,,EffN,l10,l15,l20,l25,l30,l35,l40,l45,l50,l55,l60,l65,l70,l75,l80,l85,l90,l95,l100,l105,l110,l115,l120,l125,l130,l135,l140,l145,l150,l155,l160,l165,l170,l175,l180,l185,l190,l195,l200,l205,l210,l215,l220,l225,l230,l235,l240,l245,l250,l255,l260,fleet
2004,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,60,103,80,47,186,193,423,812,1185,2682,2668,2950,2056,2785,2209,3173,2496,1715,1793,1952,1690,1030,877,805,231,743,301,292,230,210,160,240,87,0,0,SWO_WPO_DWLL
2004,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,39,13,30,30,0,0,139,651,673,402,205,307,530,719,726,1251,1179,1776,979,1307,1190,228,248,107,223,29,45,60,0,0,30,0,10,0,SWO_WPO_DWLL
2004,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,42,0,0,30,60,162,192,89,313,269,671,1045,801,773,954,1248,606,930,258,61,0,0,24,0,0,0,8,0,0,0,0,0,SWO_WPO_DWLL
2004,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,150,90,86,83,120,360,449,693,196,409,809,878,858,717,746,834,908,558,342,211,139,180,210,60,0,0,11,6,0,0,30,0,9,SWO_WPO_DWLL
2005,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,55,150,140,60,186,460,766,565,979,976,907,1600,1296,1679,1877,1917,1640,1341,986,935,498,480,212,86,86,78,208,91,36,77,52,21,36,19,SWO_WPO_DWLL
2005,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,60,28,134,72,342,457,664,1040,909,885,936,583,506,423,454,397,443,227,213,86,162,114,158,44,60,47,90,30,47,0,30,102,SWO_WPO_DWLL
2005,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,30,60,120,30,29,30,148,180,214,336,60,189,168,83,149,167,47,0,30,55,0,55,0,0,0,30,30,60,0,0,0,0,0,SWO_WPO_DWLL
2005,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,34,52,18,30,0,171,300,326,319,188,113,313,524,1016,655,461,624,213,240,113,30,89,60,0,0,90,0,0,0,0,0,0,0,SWO_WPO_DWLL
2006,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,90,23,195,111,64,112,182,454,536,518,563,381,507,1007,948,633,1089,584,151,519,589,277,153,160,274,52,106,65,39,0,0,90,30,0,SWO_WPO_DWLL
2006,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,120,30,124,122,238,342,490,297,227,207,317,242,136,215,182,171,190,268,268,95,68,26,101,31,27,54,65,170,SWO_WPO_DWLL
2006,7,2,0,0,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,0,78,30,0,0,0,30,0,0,0,30,0,0,30,39,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2006,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,51,140,60,60,21,30,0,293,345,175,295,202,372,581,449,299,287,139,84,180,150,30,60,30,180,60,0,30,60,0,0,0,0,29,SWO_WPO_DWLL
2007,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,148,127,195,23,124,373,843,689,1084,1564,1196,1768,1390,2414,1338,1155,858,843,672,266,433,586,243,224,170,89,82,107,30,69,79,46,213,SWO_WPO_DWLL
2007,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,49,0,30,25,98,349,243,683,608,726,1255,1249,825,598,584,605,437,408,215,98,115,149,173,79,43,49,0,31,43,8,0,0,SWO_WPO_DWLL
2007,7,2,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,35,27,27,0,29,0,0,54,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2007,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,30,90,90,80,0,82,118,0,60,118,175,142,120,170,30,60,30,30,30,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2008,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,18,102,0,74,59,403,500,691,707,1079,1059,1711,1394,1280,1148,1173,274,510,201,276,232,96,150,164,76,137,134,271,30,163,26,84,157,SWO_WPO_DWLL
2008,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,30,100,60,115,117,359,854,368,857,919,1182,1463,1484,1922,1495,1144,683,641,533,369,489,332,115,168,284,153,232,228,0,89,114,61,116,SWO_WPO_DWLL
2008,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,19,0,29,0,41,89,37,15,49,30,88,129,306,446,444,716,1060,839,782,779,691,779,718,507,255,188,120,68,97,30,50,38,0,52,0,30,0,30,0,56,SWO_WPO_DWLL
2008,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,30,32,0,0,0,49,76,47,51,106,53,107,39,29,120,138,82,0,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,SWO_WPO_DWLL
2009,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0,15,0,27,27,17,0,30,510,566,751,718,730,518,757,627,871,626,744,446,398,357,147,14,183,142,141,0,30,20,0,0,21,0,11,0,SWO_WPO_DWLL
2009,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,58,57,28,73,51,169,295,446,1124,1155,915,1072,888,1209,1147,995,611,654,653,661,823,434,148,319,66,103,86,64,30,0,0,60,0,12,34,SWO_WPO_DWLL
2009,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,29,4,60,107,104,0,120,13,2,38,2,27,7,6,8,16,8,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2009,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,90,0,0,0,0,60,149,73,174,143,57,136,71,49,207,269,120,90,90,85,0,0,30,30,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2010,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,36,60,142,190,308,711,1604,1632,1792,2200,2488,2302,2949,1758,1836,1058,1371,638,638,612,685,245,292,150,30,122,0,60,58,30,0,30,SWO_WPO_DWLL
